roll_number,student_name,session_id,token,scan_time,status,device_id,latitude,longitude,selfie
22BIT1234,,1,8ac74c1a-3d6d-4a8e-b676-f288868a62ac,2026-03-08T11:34:29.510Z,present,,,,
22BIT5678,,1,fdbd7de4-2e56-4cd2-a78d-dcb382c5db07,2026-03-08T11:34:49.031Z,present,,,,
24/SCA/BscIT/010,,1,acc3ec43-04ab-4f33-8336-e92fb952dfad,2026-03-08T11:41:09.675Z,present,,,,
Tadiwa,,1,6e8b759c-4a0f-4857-aef7-1a7185352621,2026-03-08T12:35:45.980Z,present,,,,
25/Bcom/ACCA/30,,10,ca333ab2-3bb4-4b0d-8ad5-39e04ac9a50d,2026-03-08T14:33:21.553Z,present,,,,
22BIT1235,,12,a07df19c-7f42-47ba-a45b-1341437f6b45,2026-03-08T14:44:48.924Z,present,,,,
Tadiwa,,14,cbcc4097-8a40-4fa7-afc3-5fd474851018,2026-03-09T10:31:52.863Z,present,,,,
12345,,19,c8bfbdcb-f6c6-4807-a332-d9130afb2adc,2026-03-09T11:15:12.777Z,present,,,,
Tadiwa,,34,228d371d-4c48-4d9e-9296-b7bac11ee643,2026-03-09T16:12:13.736Z,present,,,,
Edrick,,34,d757b93a-a2a7-4f17-84e3-16555c57b2ea,2026-03-09T16:12:50.892Z,present,,,,
TEST001,,35,8c4d05a4-ac2b-40a9-bdd4-7e8fe606bb00,2026-03-09T16:19:39.641Z,present,device123,,,
TEST003,,35,8c4d05a4-ac2b-40a9-bdd4-7e8fe606bb00,2026-03-09T16:19:53.875Z,present,device456,,,
Edrick,,35,b4322b4a-9a50-4eb3-b6e4-dc65e8e3c17a,2026-03-09T16:29:16.476Z,present,f6ddf1607d38d372,,,
Tembo Tadiwa.edrick@gmail.com,,38,1461fa1e-ed48-4350-b934-2de303d01ab8,2026-03-09T17:43:59.485Z,present,f6ddf1607d38d372,,,
Tadiwa,,39,f507970c-bb15-450e-a86a-4d9a19c1f898,2026-03-10T15:00:23.880Z,present,f6ddf1607d38d372,,,
Tadiwa,,40,07abe8d0-87f0-44f1-9b97-a577400b39b7,2026-03-10T15:09:17.840Z,present,f6ddf1607d38d372,,,
Tadiwa,,41,efc3dd52-3b22-4bd1-b4db-efd400cd7621,2026-03-10T15:21:41.582Z,present,f6ddf1607d38d372,,,
Hey,,42,bb8a110e-3bc7-419d-b282-ea9fbf9f0466,2026-03-10T15:54:53.207Z,present,f6ddf1607d38d372,,,
good,,43,5ed88aaf-f69d-4ab6-8ce9-fd6c969d240a,2026-03-10T15:55:34.433Z,present,f6ddf1607d38d372,,,
good,,44,3c39a340-4016-47d9-a9d9-86d7903454be,2026-03-10T16:08:04.860Z,present,f6ddf1607d38d372,,,
TEST,,45,f897ba40-f335-4b0c-ae6c-5f9bf3d70e68,2026-03-10T16:46:52.997Z,present,f6ddf1607d38d372,,,
TEST,,46,c5e84b60-4be8-4539-9543-baf22e45474a,2026-03-10T16:56:51.900Z,present,f6ddf1607d38d372,28.4547244,77.2863083,
TEST,,47,e861f21c-3b47-40ab-8f90-020f3cf855e9,2026-03-10T17:10:39.700Z,present,f6ddf1607d38d372,28.4547244,77.2863083,
TEST,,48,125a3c39-b01c-4044-a5be-c95b788523a3,2026-03-10T17:15:02.042Z,present,f6ddf1607d38d372,28.4507772,77.2863083,
TEST,,49,d24e44f9-23c5-4cdc-91ff-1c541b2c0213,2026-03-10T17:23:09.192Z,present,f6ddf1607d38d372,28.4507772,77.2863083,
TEST,,50,79579ed7-7b08-430d-a33c-ac6927fcbd23,2026-03-10T18:27:59.724Z,present,f6ddf1607d38d372,28.4501562,77.2864071,
TEST,,51,73aff5bd-e529-46a9-9961-4c06f7f723b6,2026-03-10T18:40:11.962Z,present,f6ddf1607d38d372,28.451136,77.2863083,
TEST,,52,fd4f26fa-212e-4b64-ac4a-f651262a3684,2026-03-10T18:48:39.969Z,present,f6ddf1607d38d372,28.451136,77.2863083,
